Experiment:,Vary_Generation_Count,,,,
,,,,,
Simulation Parameters:,,,,,
Seed:,2397997808,,,,
Population Size:,30,,,,
Generations:,10,,,,
Number of Genes:,20,,,,
Mutation Probability:,0.033,,,,
Crossover Probability:,0.6,,,,
Run Number, Generation, Average Fitness, Best Fitness, Number of Correct Bits, Best Genetic String
1,5,0.6948,0.853174,16,'11111011111101111001'
1,6,0.545392,0.853182,16,'11111011111101111010'
1,7,0.748689,0.998104,16,'11111111111100111001'
1,8,0.698607,0.998104,16,'11111111111100111001'
1,9,0.735907,0.994378,15,'11111111110110110001'
1,10,0.682774,0.982496,13,'11111111100011000110'
1,11,0.699004,0.998104,16,'11111111111100111001'
1,12,0.731768,0.982177,12,'11111111100010100100'
1,13,0.741225,0.984733,14,'11111111100110110100'
1,14,0.759074,0.994255,14,'11111111110110100100'
1,15,0.762251,0.999123,15,'11111111111110100100'
1,16,0.720247,0.999142,16,'11111111111110100110'
1,17,0.717119,0.984582,13,'11111111100110100100'
1,18,0.792526,0.999142,16,'11111111111110100110'
1,19,0.762764,0.994426,16,'11111111110110110110'
1,20,0.697413,0.994426,16,'11111111110110110110'
1,21,0.807081,0.994426,16,'11111111110110110110'
1,22,0.725928,0.994407,15,'11111111110110110100'
1,23,0.659486,0.984733,14,'11111111100110110100'
1,24,0.77855,0.984582,13,'11111111100110100100'
1,25,0.811788,0.985194,15,'11111111100111100101'
1,26,0.790863,0.984761,16,'11111111100110110111'
1,27,0.774401,0.981127,12,'11111111100000110100'
1,28,0.690865,0.981127,12,'11111111100000110100'
1,29,0.783156,0.995622,14,'11111111111000110100'
1,30,0.83553,0.976347,14,'11111111011000110101'
1,31,0.781815,0.971579,13,'11111111010000110101'
1,32,0.70264,0.971579,13,'11111111010000110101'
1,33,0.733602,0.976347,14,'11111111011000110101'
1,34,0.756644,0.917171,15,'11111101110010111101'
1,35,0.617548,0.934181,12,'11111110010000110101'
1,36,0.636509,0.940515,15,'11111110011011110101'
1,37,0.63986,0.940515,15,'11111110011011110101'
1,38,0.640591,0.938802,14,'11111110011000110111'
1,39,0.601555,0.867534,12,'11111100011000110101'
,,,,,
